"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"SMS_MO_FW_FAILED","30336_SMS_MO_FW_FAILED_20200130_085101.txt","AGGREGATOR_ID","Column AGGREGATOR_ID is present in CED","AGGREGATOR_ID","Present","10","10","Column is in Order"
"SMS_MO_FW_FAILED","30336_SMS_MO_FW_FAILED_20200130_085101.txt","COUNTRY_CODE","Column COUNTRY_CODE is present in CED","COUNTRY_CODE","Present","11","11","Column is in Order"
"SMS_MO_FW_FAILED","30336_SMS_MO_FW_FAILED_20200130_085101.txt","MOBILE_CODE","Column MOBILE_CODE is present in CED","MOBILE_CODE","Present","12","12","Column is in Order"
"SMS_MO_FW_FAILED","30336_SMS_MO_FW_FAILED_20200130_085101.txt","MOBILE_NUMBER","Column MOBILE_NUMBER is present in CED","MOBILE_NUMBER","Present","13","13","Column is in Order"
"SMS_MO_FW_FAILED","30336_SMS_MO_FW_FAILED_20200130_085101.txt","MOBILE_KEYWORD","Column MOBILE_KEYWORD is present in CED","MOBILE_KEYWORD","Present","14","14","Column is in Order"
"SMS_MO_FW_FAILED","30336_SMS_MO_FW_FAILED_20200130_085101.txt","MO_MSG","Column MO_MSG is present in CED","MO_MSG","Present","15","15","Column is in Order"
"SMS_MO_FW_FAILED","30336_SMS_MO_FW_FAILED_20200130_085101.txt","FAILURE_REASON","Column FAILURE_REASON is present in CED","FAILURE_REASON","Present","16","16","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","0","0","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","1","1","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","2","2","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","RIID","Column RIID is present in CED","RIID","Present","3","3","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","4","4","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","5","5","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","6","6","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","7","7","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","8","8","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","PROGRAM_ID","Column PROGRAM_ID is present in CED","PROGRAM_ID","Present","9","9","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","PARTNER_ID","Column PARTNER_ID is present in CED","PARTNER_ID","Present","10","10","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","CUSTOM_PARAMS","Column CUSTOM_PARAMS is present in CED","CUSTOM_PARAMS","Present","11","11","Column is in Order"
