"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","0","0","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","1","1","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","2","2","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","RIID","Column RIID is present in CED","RIID","Present","3","3","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","4","4","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","5","5","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","6","6","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","7","7","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","8","8","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","EMAIL","Column EMAIL is present in CED","EMAIL","Present","9","9","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","EMAIL_FORMAT","Column EMAIL_FORMAT is present in CED","EMAIL_FORMAT","Present","10","10","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","BOUNCE_TYPE","Column BOUNCE_TYPE is present in CED","BOUNCE_TYPE","Present","11","11","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","REASON","Column REASON is present in CED","REASON","Present","12","12","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","REASON_CODE","Column REASON_CODE is present in CED","REASON_CODE","Present","13","13","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","SUBJECT","Column SUBJECT is present in CED","SUBJECT","Present","14","14","Column is in Order"
"BOUNCE","100348_BOUNCE_20190725_102501.txt","CONTACT_INFO","Column CONTACT_INFO is present in CED","CONTACT_INFO","Present","15","15","Column is in Order"
