"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","FIRST_NAME","Column FIRST_NAME (from CUSTOM_PROPERTIES) is present in CED","FIRST_NAME","Present","13","13","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","LAST_NAME","Column LAST_NAME (from CUSTOM_PROPERTIES) is present in CED","LAST_NAME","Present","14","14","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","0","0","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","1","1","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","2","2","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","RIID","Column RIID is present in CED","RIID","Present","3","3","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","4","4","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","5","5","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","6","6","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","7","7","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","8","8","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","EMAIL_FORMAT","Column EMAIL_FORMAT is present in CED","EMAIL_FORMAT","Present","9","9","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","SOURCE","Column SOURCE is present in CED","SOURCE","Present","10","10","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","REASON","Column REASON is present in CED","REASON","Present","11","11","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","EMAIL","Column EMAIL is present in CED","EMAIL","Present","12","12","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","CONTACT_INFO","Column CONTACT_INFO is present in CED","CONTACT_INFO","Present","13","13","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","CAMPAIGN_VERSION_ID","Column CAMPAIGN_VERSION_ID is present in CED","CAMPAIGN_VERSION_ID","Present","14","14","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","PERSONALIZATION_DT","Column PERSONALIZATION_DT is present in CED","PERSONALIZATION_DT","Present","15","15","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","RECIPIENT_ORG_ID","Column RECIPIENT_ORG_ID is present in CED","RECIPIENT_ORG_ID","Present","16","16","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","FIRST_NAME","Column FIRST_NAME (from CUSTOM_PROPERTIES) is present in CED","FIRST_NAME","Present","17","17","Column is in Order"
"OPT_OUT","100341_OPT_OUT_20190603_060501.txt","LAST_NAME","Column LAST_NAME (from CUSTOM_PROPERTIES) is present in CED","LAST_NAME","Present","18","18","Column is in Order"
"PROGRAM_STATE","100341_PROGRAM_STATE_20190603_060501.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","0","0","Column is in Order"
"PROGRAM_STATE","100341_PROGRAM_STATE_20190603_060501.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","1","1","Column is in Order"
"PROGRAM_STATE","100341_PROGRAM_STATE_20190603_060501.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","2","2","Column is in Order"
"PROGRAM_STATE","100341_PROGRAM_STATE_20190603_060501.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","3","3","Column is in Order"
"PROGRAM_STATE","100341_PROGRAM_STATE_20190603_060501.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","4","4","Column is in Order"
"PROGRAM_STATE","100341_PROGRAM_STATE_20190603_060501.txt","PROGRAM_ID","Column PROGRAM_ID is present in CED","PROGRAM_ID","Present","5","5","Column is in Order"
"PROGRAM_STATE","100341_PROGRAM_STATE_20190603_060501.txt","PROGRAM_NAME","Column PROGRAM_NAME is present in CED","PROGRAM_NAME","Present","6","6","Column is in Order"
"PROGRAM_STATE","100341_PROGRAM_STATE_20190603_060501.txt","PROGRAM_DESCRIPTION","Column PROGRAM_DESCRIPTION is present in CED","PROGRAM_DESCRIPTION","Present","7","7","Column is in Order"
"PROGRAM_STATE","100341_PROGRAM_STATE_20190603_060501.txt","FIRST_NAME","Column FIRST_NAME (from CUSTOM_PROPERTIES) is present in CED","FIRST_NAME","Present","8","8","Column is in Order"
"PROGRAM_STATE","100341_PROGRAM_STATE_20190603_060501.txt","LAST_NAME","Column LAST_NAME (from CUSTOM_PROPERTIES) is present in CED","LAST_NAME","Present","9","9","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","0","0","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","1","1","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","2","2","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","RIID","Column RIID is present in CED","RIID","Present","3","3","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","4","4","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","5","5","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","6","6","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","7","7","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","8","8","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","EMAIL","Column EMAIL is present in CED","EMAIL","Present","9","9","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","EMAIL_ISP","Column EMAIL_ISP is present in CED","EMAIL_ISP","Present","10","10","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","EMAIL_FORMAT","Column EMAIL_FORMAT is present in CED","EMAIL_FORMAT","Present","11","11","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","OFFER_SIGNATURE_ID","Column OFFER_SIGNATURE_ID is present in CED","OFFER_SIGNATURE_ID","Present","12","12","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","DYNAMIC_CONTENT_SIGNATURE_ID","Column DYNAMIC_CONTENT_SIGNATURE_ID is present in CED","DYNAMIC_CONTENT_SIGNATURE_ID","Present","13","13","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","MESSAGE_SIZE","Column MESSAGE_SIZE is present in CED","MESSAGE_SIZE","Present","14","14","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","SEGMENT_INFO","Column SEGMENT_INFO is present in CED","SEGMENT_INFO","Present","15","15","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","CONTACT_INFO","Column CONTACT_INFO is present in CED","CONTACT_INFO","Present","16","16","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","$CAMPAIGN(CAMPAIGN_ID).dispatchableName:CAMPAIGN_NAME","Column CAMPAIGN_NAME (which is configured in headers using built-in $CAMPAIGN(CAMPAIGN_ID).dispatchableName:CAMPAIGN_NAME) is present in CED","CAMPAIGN_NAME","Present","17","17","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","CAMPAIGN_VERSION_ID","Column CAMPAIGN_VERSION_ID is present in CED","CAMPAIGN_VERSION_ID","Present","18","18","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","PERSONALIZATION_DT","Column PERSONALIZATION_DT is present in CED","PERSONALIZATION_DT","Present","19","19","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","RECIPIENT_ORG_ID","Column RECIPIENT_ORG_ID is present in CED","RECIPIENT_ORG_ID","Present","20","20","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","FIRST_NAME","Column FIRST_NAME (from CUSTOM_PROPERTIES) is present in CED","FIRST_NAME","Present","21","21","Column is in Order"
"SENT","100341_SENT_20190603_060500.txt","LAST_NAME","Column LAST_NAME (from CUSTOM_PROPERTIES) is present in CED","LAST_NAME","Present","22","22","Column is in Order"
"SKIPPED","100341_SKIPPED_20190603_060500.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","0","0","Column is in Order"
"SKIPPED","100341_SKIPPED_20190603_060500.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","1","1","Column is in Order"
"SKIPPED","100341_SKIPPED_20190603_060500.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","2","2","Column is in Order"
"SKIPPED","100341_SKIPPED_20190603_060500.txt","RIID","Column RIID is present in CED","RIID","Present","3","3","Column is in Order"
"SKIPPED","100341_SKIPPED_20190603_060500.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","4","4","Column is in Order"
"SKIPPED","100341_SKIPPED_20190603_060500.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","5","5","Column is in Order"
"SKIPPED","100341_SKIPPED_20190603_060500.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","6","6","Column is in Order"
"SKIPPED","100341_SKIPPED_20190603_060500.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","7","7","Column is in Order"
"SKIPPED","100341_SKIPPED_20190603_060500.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","8","8","Column is in Order"
